Id,Price,Year,Mileage,Volume,Gearbox,Private,3-doors
227,500000,2012,198000,1.6,A,1,0
228,465000,2010,114000,1.6,M,1,0
229,470000,2010,75000,1.6,M,1,1
230,580000,2012,140000,1.6,M,1,0
231,510000,2012,105000,1.4,M,1,1
232,560000,2011,43000,1.2,M,1,0
233,450000,2011,95000,1.2,M,1,0
234,540000,2011,97000,1.6,A,1,0
235,470000,2010,136000,1.6,M,1,1
236,399000,2009,158000,1.6,A,1,0
237,850000,2011,65000,1.4,M,1,1
238,380000,2010,125000,1.6,A,1,0
239,470000,2011,92000,1.2,M,1,1
240,470000,2011,116000,1.4,A,1,0
