Id,Raw_price,Price,Year,Raw_mileage,Mileage,Raw_engine,Volume,Gearbox,Private,3-doors
24,465 000 ₽,465000,2011,110 060 км,110060,1.4 AMT,1.4,A,0,0
25,400 000 ₽,400000,2010,70 000 км,70000,1.4 MT,1.4,M,0,1
26,550 000 ₽,550000,2012,105 000 км,105000,1.6 AMT,1.6,A,1,0
27,535 000 ₽,535000,2012,91 000 км,91000,1.4 AMT,1.4,A,0,0
28,450 000 ₽,450000,2011,125 200 км,125200,1.6 MT,1.6,M,0,0
29,545 000 ₽,545000,2012,118 563 км,118563,1.4 MT,1.4,M,0,0
30,390 000 ₽,390000,2011,83 500 км,83500,1.4 MT,1.4,M,0,0
31,427 000 ₽,427000,2011,86 990 км,86990,1.4 MT,1.4,M,0,0
32,475 000 ₽,475000,2011,113 000 км,113000,1.4 MT,1.4,M,0,0
33,455 000 ₽,455000,2011,86 000 км,86000,1.4 AMT,1.4,A,0,0
34,518 000 ₽,518000,2012,87 000 км,87000,1.4 AMT,1.4,A,0,0
35,435 000 ₽,435000,2011,93 000 км,93000,1.2 AMT,1.2,A,0,0
36,545 000 ₽,545000,2012,70 000 км,70000,1.6 MT,1.6,M,0,0
37,595 000 ₽,595000,2012,44 611 км,44611,1.6 AMT,1.6,A,0,0
38,490 000 ₽,490000,2012,93 132 км,93132,1.4 AMT,1.4,A,0,0
39,400 000 ₽,400000,2011,80 600 км,80600,1.4 AMT,1.4,A,0,0
40,425 000 ₽,425000,2011,81 033 км,81033,1.4 AMT,1.4,A,0,0
41,500 000 ₽,500000,2011,95 500 км,95500,2.0 MT,2.0,M,0,1
42,440 000 ₽,440000,2012,108 000 км,108000,1.2 MT,1.2,M,0,0
43,480 000 ₽,480000,2010,89 000 км,89000,1.6 AMT,1.6,A,1,0
44,450 000 ₽,450000,2010,128 550 км,128550,1.6 AMT,1.6,A,1,0
45,425 000 ₽,425000,2010,79 000 км,79000,1.6 AMT,1.6,A,1,0
46,455 000 ₽,455000,2011,122 086 км,122086,1.4 MT,1.4,M,0,0
47,620 000 ₽,620000,2012,38 700 км,38700,1.6 AMT,1.6,A,1,0
48,389 000 ₽,389000,2010,35 556 км,35556,1.6 AMT,1.6,A,0,0
49,419 000 ₽,419000,2010,90 466 км,90466,1.6 AMT,1.6,A,0,0
50,427 000 ₽,427000,2010,107 558 км,107558,1.6 AMT,1.6,A,0,0
51,490 000 ₽,490000,2012,65 787 км,65787,1.4 AMT,1.4,A,0,0
52,550 000 ₽,550000,2011,122 452 км,122452,1.4 AMT,1.4,A,1,0
53,"600000,00",600000,2011,46 000 км,46000,1.4 MT,1.4,M,1,0
54,450 000 ₽,450000,2012,99 000 км,99000,1.6 MT,1.6,M,1,0
55,529 000 ₽,529000,2011,64 000 км,64000,1.4 AMT,1.4,A,1,0
56,415 000 ₽,415000,2009,82 169 км,82169,1.4 AMT,1.4,A,0,0
57,479 000 ₽,479000,2011,91 500 км,91500,1.4 AMT,1.4,A,0,0
58,480 000 ₽,480000,2010,125 000 км,125000,1.6 AMT,1.6,A,1,0
59,488 000 ₽,488000,2011,63 635 км,63635,1.6 AMT,1.6,A,0,0
60,390 000 ₽,390000,2009,158 700 км,158700,1.4 MT,1.4,M,1,0
61,540 000 ₽,540000,2012,98 500 км,98500,1.4 AMT,1.4,A,1,0
62,435 000 ₽,435000,2012,63 000 км,63000,1.2 MT,1.2,M,0,0
63,540 000 ₽,540000,2011,52 000 км,52000,1.2 MT,1.2,M,1,1
64,395 000 ₽,395000,2009,105 000 км,105000,1.6 AMT,1.6,A,0,0
