POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
12,2,Stoffel Vandoorne,MCLAREN RENAULT,1:12.463,1:12.440,,19,6,2018,Monte-Carlo
13,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:12.706,1:12.521,,19,6,2018,Monte-Carlo
14,16,Charles Leclerc,SAUBER FERRARI,1:12.829,1:12.714,,20,6,2018,Monte-Carlo
15,8,Romain Grosjean,HAAS FERRARI,1:12.930,1:12.728,,21,6,2018,Monte-Carlo
16,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:13.179,,,12,6,2018,Monte-Carlo
17,9,Marcus Ericsson,SAUBER FERRARI,1:13.265,,,11,6,2018,Monte-Carlo
18,18,Lance Stroll,WILLIAMS MERCEDES,1:13.323,,,10,6,2018,Monte-Carlo
19,20,Kevin Magnussen,HAAS FERRARI,1:13.393,,,12,6,2018,Monte-Carlo
20,33,Max Verstappen,RED BULL RACING TAG HEUER,DNF,,,0,6,2018,Monte-Carlo
1,5,Sebastian Vettel,FERRARI,1:11.710,1:11.524,1:10.764,18,7,2018,Circuit Gilles Villeneuve
2,77,Valtteri Bottas,MERCEDES,1:11.950,1:11.514,1:10.857,20,7,2018,Circuit Gilles Villeneuve
3,33,Max Verstappen,RED BULL RACING TAG HEUER,1:12.008,1:11.472,1:10.937,16,7,2018,Circuit Gilles Villeneuve
4,44,Lewis Hamilton,MERCEDES,1:11.835,1:11.740,1:10.996,21,7,2018,Circuit Gilles Villeneuve
5,7,Kimi Räikkönen,FERRARI,1:11.725,1:11.620,1:11.095,20,7,2018,Circuit Gilles Villeneuve
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:12.459,1:11.434,1:11.116,18,7,2018,Circuit Gilles Villeneuve
7,27,Nico Hulkenberg,RENAULT,1:12.795,1:11.916,1:11.973,15,7,2018,Circuit Gilles Villeneuve
8,31,Esteban Ocon,FORCE INDIA MERCEDES,1:12.577,1:12.141,1:12.084,14,7,2018,Circuit Gilles Villeneuve
9,55,Carlos Sainz,RENAULT,1:12.689,1:12.097,1:12.168,15,7,2018,Circuit Gilles Villeneuve
10,11,Sergio Perez,FORCE INDIA MERCEDES,1:12.702,1:12.395,1:12.671,13,7,2018,Circuit Gilles Villeneuve
11,20,Kevin Magnussen,HAAS FERRARI,1:12.680,1:12.606,,22,7,2018,Circuit Gilles Villeneuve
12,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:12.587,1:12.635,,17,7,2018,Circuit Gilles Villeneuve
13,16,Charles Leclerc,SAUBER FERRARI,1:12.945,1:12.661,,22,7,2018,Circuit Gilles Villeneuve
14,14,Fernando Alonso,MCLAREN RENAULT,1:12.979,1:12.856,,14,7,2018,Circuit Gilles Villeneuve
15,2,Stoffel Vandoorne,MCLAREN RENAULT,1:12.998,1:12.865,,14,7,2018,Circuit Gilles Villeneuve
16,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:13.047,,,8,7,2018,Circuit Gilles Villeneuve
17,18,Lance Stroll,WILLIAMS MERCEDES,1:13.590,,,8,7,2018,Circuit Gilles Villeneuve
18,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:13.643,,,10,7,2018,Circuit Gilles Villeneuve
19,9,Marcus Ericsson,SAUBER FERRARI,1:14.593,,,6,7,2018,Circuit Gilles Villeneuve
20,8,Romain Grosjean,HAAS FERRARI,DNF,,,0,7,2018,Circuit Gilles Villeneuve
1,44,Lewis Hamilton,MERCEDES,1:31.271,1:30.645,1:30.029,19,8,2018,Paul Ricard
2,77,Valtteri Bottas,MERCEDES,1:31.776,1:31.227,1:30.147,17,8,2018,Paul Ricard
3,5,Sebastian Vettel,FERRARI,1:31.820,1:30.751,1:30.400,22,8,2018,Paul Ricard
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:31.531,1:30.818,1:30.705,20,8,2018,Paul Ricard
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:31.910,1:31.538,1:30.895,20,8,2018,Paul Ricard
6,7,Kimi Räikkönen,FERRARI,1:31.567,1:30.772,1:31.057,22,8,2018,Paul Ricard
7,55,Carlos Sainz,RENAULT,1:32.394,1:32.016,1:32.126,23,8,2018,Paul Ricard
8,16,Charles Leclerc,SAUBER FERRARI,1:32.538,1:32.055,1:32.635,22,8,2018,Paul Ricard
9,20,Kevin Magnussen,HAAS FERRARI,1:32.169,1:31.510,1:32.930,24,8,2018,Paul Ricard
10,8,Romain Grosjean,HAAS FERRARI,1:32.083,1:31.472,DNF,20,8,2018,Paul Ricard
11,31,Esteban Ocon,FORCE INDIA MERCEDES,1:32.786,1:32.075,,14,8,2018,Paul Ricard
12,27,Nico Hulkenberg,RENAULT,1:32.949,1:32.115,,15,8,2018,Paul Ricard
13,11,Sergio Perez,FORCE INDIA MERCEDES,1:32.692,1:32.454,,15,8,2018,Paul Ricard
14,10,Pierre Gasly,SCUDERIA TORO ROSSO HONDA,1:32.447,1:32.460,,17,8,2018,Paul Ricard
15,9,Marcus Ericsson,SAUBER FERRARI,1:32.804,1:32.820,,18,8,2018,Paul Ricard
16,14,Fernando Alonso,MCLAREN RENAULT,1:32.976,,,10,8,2018,Paul Ricard
17,28,Brendon Hartley,SCUDERIA TORO ROSSO HONDA,1:33.025,,,10,8,2018,Paul Ricard
18,2,Stoffel Vandoorne,MCLAREN RENAULT,1:33.162,,,10,8,2018,Paul Ricard
19,35,Sergey Sirotkin,WILLIAMS MERCEDES,1:33.636,,,9,8,2018,Paul Ricard
20,18,Lance Stroll,WILLIAMS MERCEDES,1:33.729,,,10,8,2018,Paul Ricard
1,44,Lewis Hamilton,MERCEDES,1:25.351,1:24.605,1:23.837,14,1,2016,Albert Park
2,6,Nico Rosberg,MERCEDES,1:26.934,1:24.796,1:24.197,13,1,2016,Albert Park
3,5,Sebastian Vettel,FERRARI,1:26.945,1:25.257,1:24.675,14,1,2016,Albert Park
4,7,Kimi Räikkönen,FERRARI,1:26.579,1:25.615,1:25.033,13,1,2016,Albert Park
5,33,Max Verstappen,TORO ROSSO-FERRARI,1:26.934,1:25.615,1:25.434,12,1,2016,Albert Park
6,19,Felipe Massa,WILLIAMS MERCEDES,1:25.918,1:25.644,1:25.458,12,1,2016,Albert Park
7,55,Carlos Sainz,TORO ROSSO-FERRARI,1:27.057,1:25.384,1:25.582,14,1,2016,Albert Park
8,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:26.945,1:25.599,1:25.589,15,1,2016,Albert Park
9,11,Sergio Perez,FORCE INDIA MERCEDES,1:26.607,1:25.753,,12,1,2016,Albert Park
10,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:26.550,1:25.865,,14,1,2016,Albert Park
11,77,Valtteri Bottas,WILLIAMS MERCEDES,1:27.135,1:25.961,,9,1,2016,Albert Park
12,14,Fernando Alonso,MCLAREN HONDA,1:26.537,1:26.125,,9,1,2016,Albert Park
13,22,Jenson Button,MCLAREN HONDA,1:26.740,1:26.304,,9,1,2016,Albert Park
14,30,Jolyon Palmer,RENAULT,1:27.241,1:27.601,,12,1,2016,Albert Park
15,20,Kevin Magnussen,RENAULT,1:27.297,1:27.742,,11,1,2016,Albert Park
16,9,Marcus Ericsson,SAUBER FERRARI,1:27.435,,,9,1,2016,Albert Park
17,12,Felipe Nasr,SAUBER FERRARI,1:27.958,,,7,1,2016,Albert Park
18,26,Daniil Kvyat,RED BULL RACING TAG HEUER,1:28.006,,,5,1,2016,Albert Park
19,8,Romain Grosjean,HAAS FERRARI,1:28.322,,,6,1,2016,Albert Park
20,21,Esteban Gutierrez,HAAS FERRARI,1:29.606,,,6,1,2016,Albert Park
21,88,Rio Haryanto,MRT-MERCEDES,1:29.627,,,3,1,2016,Albert Park
22,94,Pascal Wehrlein,MRT-MERCEDES,1:29.642,,,3,1,2016,Albert Park
1,44,Lewis Hamilton,MERCEDES,1:31.391,1:30.039,1:29.493,14,2,2016,Bahrain International Circuit
2,6,Nico Rosberg,MERCEDES,1:31.325,1:30.535,1:29.570,13,2,2016,Bahrain International Circuit
3,5,Sebastian Vettel,FERRARI,1:31.636,1:30.409,1:30.012,14,2,2016,Bahrain International Circuit
4,7,Kimi Räikkönen,FERRARI,1:31.685,1:30.559,1:30.244,14,2,2016,Bahrain International Circuit
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:31.403,1:31.122,1:30.854,12,2,2016,Bahrain International Circuit
6,77,Valtteri Bottas,WILLIAMS MERCEDES,1:31.672,1:30.931,1:31.153,12,2,2016,Bahrain International Circuit
7,19,Felipe Massa,WILLIAMS MERCEDES,1:32.045,1:31.374,1:31.155,10,2,2016,Bahrain International Circuit
8,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:31.987,1:31.604,1:31.620,15,2,2016,Bahrain International Circuit
9,8,Romain Grosjean,HAAS FERRARI,1:32.005,1:31.756,,9,2,2016,Bahrain International Circuit
10,33,Max Verstappen,TORO ROSSO-FERRARI,1:31.888,1:31.772,,9,2,2016,Bahrain International Circuit
11,55,Carlos Sainz,TORO ROSSO-FERRARI,1:31.716,1:31.816,,9,2,2016,Bahrain International Circuit
12,47,Stoffel Vandoorne,MCLAREN HONDA,1:32.472,1:31.934,,9,2,2016,Bahrain International Circuit
13,21,Esteban Gutierrez,HAAS FERRARI,1:32.118,1:31.945,,9,2,2016,Bahrain International Circuit
14,22,Jenson Button,MCLAREN HONDA,1:31.976,1:31.998,,9,2,2016,Bahrain International Circuit
15,26,Daniil Kvyat,RED BULL RACING TAG HEUER,1:32.559,1:32.241,,9,2,2016,Bahrain International Circuit
16,94,Pascal Wehrlein,MRT-MERCEDES,1:32.806,,,6,2,2016,Bahrain International Circuit
17,9,Marcus Ericsson,SAUBER FERRARI,1:32.840,,,6,2,2016,Bahrain International Circuit
18,11,Sergio Perez,FORCE INDIA MERCEDES,1:32.911,,,7,2,2016,Bahrain International Circuit
19,20,Kevin Magnussen,RENAULT,1:33.181,,,3,2,2016,Bahrain International Circuit
20,30,Jolyon Palmer,RENAULT,1:33.438,,,6,2,2016,Bahrain International Circuit
21,88,Rio Haryanto,MRT-MERCEDES,1:34.190,,,3,2,2016,Bahrain International Circuit
22,12,Felipe Nasr,SAUBER FERRARI,1:34.388,,,4,2,2016,Bahrain International Circuit
1,6,Nico Rosberg,MERCEDES,1:37.669,1:36.240,1:35.402,16,3,2016,Shanghai International Circuit
2,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:37.672,1:36.815,1:35.917,13,3,2016,Shanghai International Circuit
3,7,Kimi Räikkönen,FERRARI,1:37.347,1:36.118,1:35.972,13,3,2016,Shanghai International Circuit
4,5,Sebastian Vettel,FERRARI,1:37.001,1:36.183,1:36.246,10,3,2016,Shanghai International Circuit
5,77,Valtteri Bottas,WILLIAMS MERCEDES,1:37.537,1:36.831,1:36.296,13,3,2016,Shanghai International Circuit
6,26,Daniil Kvyat,RED BULL RACING TAG HEUER,1:37.719,1:36.948,1:36.399,14,3,2016,Shanghai International Circuit
7,11,Sergio Perez,FORCE INDIA MERCEDES,1:38.096,1:37.149,1:36.865,15,3,2016,Shanghai International Circuit
8,55,Carlos Sainz,TORO ROSSO-FERRARI,1:37.656,1:37.204,1:36.881,15,3,2016,Shanghai International Circuit
9,33,Max Verstappen,TORO ROSSO-FERRARI,1:38.181,1:37.265,1:37.194,15,3,2016,Shanghai International Circuit
10,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:38.165,1:37.333,,10,3,2016,Shanghai International Circuit
11,19,Felipe Massa,WILLIAMS MERCEDES,1:38.016,1:37.347,,9,3,2016,Shanghai International Circuit
12,14,Fernando Alonso,MCLAREN HONDA,1:38.451,1:38.826,,11,3,2016,Shanghai International Circuit
13,22,Jenson Button,MCLAREN HONDA,1:37.593,1:39.093,,11,3,2016,Shanghai International Circuit
14,8,Romain Grosjean,HAAS FERRARI,1:38.425,1:39.830,,13,3,2016,Shanghai International Circuit
15,9,Marcus Ericsson,SAUBER FERRARI,1:38.321,1:40.742,,11,3,2016,Shanghai International Circuit
16,12,Felipe Nasr,SAUBER FERRARI,1:38.654,1:42.430,,11,3,2016,Shanghai International Circuit
17,20,Kevin Magnussen,RENAULT,1:38.673,,,9,3,2016,Shanghai International Circuit
18,21,Esteban Gutierrez,HAAS FERRARI,1:38.770,,,9,3,2016,Shanghai International Circuit
19,30,Jolyon Palmer,RENAULT,1:39.528,,,9,3,2016,Shanghai International Circuit
20,88,Rio Haryanto,MRT-MERCEDES,1:40.264,,,9,3,2016,Shanghai International Circuit
21,94,Pascal Wehrlein,MRT-MERCEDES,DNF,,,2,3,2016,Shanghai International Circuit
22,44,Lewis Hamilton,MERCEDES,DNF,,,3,3,2016,Shanghai International Circuit
1,6,Nico Rosberg,MERCEDES,1:36.119,1:35.337,1:35.417,16,4,2016,Sochi
2,5,Sebastian Vettel,FERRARI,1:36.555,1:36.623,1:36.123,16,4,2016,Sochi
3,77,Valtteri Bottas,WILLIAMS MERCEDES,1:37.746,1:37.140,1:36.536,17,4,2016,Sochi
4,7,Kimi Räikkönen,FERRARI,1:36.976,1:36.741,1:36.663,17,4,2016,Sochi
5,19,Felipe Massa,WILLIAMS MERCEDES,1:37.753,1:37.230,1:37.016,16,4,2016,Sochi
6,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:38.091,1:37.569,1:37.125,22,4,2016,Sochi
7,11,Sergio Perez,FORCE INDIA MERCEDES,1:38.006,1:37.282,1:37.212,20,4,2016,Sochi
8,26,Daniil Kvyat,RED BULL RACING TAG HEUER,1:38.265,1:37.606,1:37.459,22,4,2016,Sochi
9,33,Max Verstappen,TORO ROSSO FERRARI,1:38.123,1:37.510,1:37.583,20,4,2016,Sochi
10,44,Lewis Hamilton,MERCEDES,1:36.006,1:35.820,,13,4,2016,Sochi
11,55,Carlos Sainz,TORO ROSSO FERRARI,1:37.784,1:37.652,,14,4,2016,Sochi
12,22,Jenson Button,MCLAREN HONDA,1:38.332,1:37.701,,14,4,2016,Sochi
13,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:38.562,1:37.771,,17,4,2016,Sochi
14,14,Fernando Alonso,MCLAREN HONDA,1:37.971,1:37.807,,14,4,2016,Sochi
15,8,Romain Grosjean,HAAS FERRARI,1:38.383,1:38.055,,16,4,2016,Sochi
16,21,Esteban Gutierrez,HAAS FERRARI,1:38.678,1:38.115,,18,4,2016,Sochi
17,20,Kevin Magnussen,RENAULT,1:38.914,,,10,4,2016,Sochi
18,30,Jolyon Palmer,RENAULT,1:39.009,,,9,4,2016,Sochi
19,12,Felipe Nasr,SAUBER FERRARI,1:39.018,,,10,4,2016,Sochi
20,94,Pascal Wehrlein,MRT MERCEDES,1:39.399,,,10,4,2016,Sochi
21,88,Rio Haryanto,MRT MERCEDES,1:39.463,,,10,4,2016,Sochi
22,9,Marcus Ericsson,SAUBER FERRARI,1:39.519,,,10,4,2016,Sochi
1,44,Lewis Hamilton,MERCEDES,1:23.214,1:22.159,1:22.000,13,5,2016,Catalunia
2,6,Nico Rosberg,MERCEDES,1:23.002,1:22.759,1:22.280,12,5,2016,Catalunia
3,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:23.749,1:23.585,1:22.680,12,5,2016,Catalunia
4,33,Max Verstappen,RED BULL RACING TAG HEUER,1:23.578,1:23.178,1:23.087,12,5,2016,Catalunia
5,7,Kimi Räikkönen,FERRARI,1:23.796,1:23.504,1:23.113,14,5,2016,Catalunia
6,5,Sebastian Vettel,FERRARI,1:24.124,1:23.688,1:23.334,12,5,2016,Catalunia
7,77,Valtteri Bottas,WILLIAMS MERCEDES,1:24.251,1:24.023,1:23.522,12,5,2016,Catalunia
8,55,Carlos Sainz,TORO ROSSO FERRARI,1:24.496,1:24.077,1:23.643,12,5,2016,Catalunia
9,11,Sergio Perez,FORCE INDIA MERCEDES,1:24.698,1:24.003,1:23.782,16,5,2016,Catalunia
10,14,Fernando Alonso,MCLAREN HONDA,1:24.578,1:24.192,1:23.981,12,5,2016,Catalunia
11,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:24.463,1:24.203,,13,5,2016,Catalunia
12,22,Jenson Button,MCLAREN HONDA,1:24.583,1:24.348,,12,5,2016,Catalunia
13,26,Daniil Kvyat,TORO ROSSO FERRARI,1:24.696,1:24.445,,11,5,2016,Catalunia
14,8,Romain Grosjean,HAAS FERRARI,1:24.716,1:24.480,,12,5,2016,Catalunia
15,20,Kevin Magnussen,RENAULT,1:24.669,1:24.625,,12,5,2016,Catalunia
16,21,Esteban Gutierrez,HAAS FERRARI,1:24.406,1:24.778,,12,5,2016,Catalunia
17,30,Jolyon Palmer,RENAULT,1:24.903,,,6,5,2016,Catalunia
18,19,Felipe Massa,WILLIAMS MERCEDES,1:24.941,,,4,5,2016,Catalunia
19,9,Marcus Ericsson,SAUBER FERRARI,1:25.202,,,8,5,2016,Catalunia
20,12,Felipe Nasr,SAUBER FERRARI,1:25.579,,,8,5,2016,Catalunia
21,94,Pascal Wehrlein,MRT MERCEDES,1:25.745,,,9,5,2016,Catalunia
22,88,Rio Haryanto,MRT MERCEDES,1:25.939,,,9,5,2016,Catalunia
1,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:14.912,1:14.357,1:13.622,21,6,2016,Monte-Carlo
2,6,Nico Rosberg,MERCEDES,1:14.873,1:14.043,1:13.791,24,6,2016,Monte-Carlo
3,44,Lewis Hamilton,MERCEDES,1:14.826,1:14.056,1:13.942,21,6,2016,Monte-Carlo
4,5,Sebastian Vettel,FERRARI,1:14.610,1:14.318,1:14.552,23,6,2016,Monte-Carlo
5,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:15.333,1:14.989,1:14.726,25,6,2016,Monte-Carlo
6,7,Kimi Räikkönen,FERRARI,1:15.499,1:14.789,1:14.732,25,6,2016,Monte-Carlo
7,55,Carlos Sainz,TORO ROSSO FERRARI,1:15.467,1:14.805,1:14.749,23,6,2016,Monte-Carlo
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:15.328,1:14.937,1:14.902,28,6,2016,Monte-Carlo
9,26,Daniil Kvyat,TORO ROSSO FERRARI,1:15.384,1:14.794,1:15.273,23,6,2016,Monte-Carlo
10,14,Fernando Alonso,MCLAREN HONDA,1:15.504,1:15.107,1:15.363,26,6,2016,Monte-Carlo
11,77,Valtteri Bottas,WILLIAMS MERCEDES,1:15.521,1:15.273,,15,6,2016,Monte-Carlo
12,21,Esteban Gutierrez,HAAS FERRARI,1:15.592,1:15.293,,22,6,2016,Monte-Carlo
13,22,Jenson Button,MCLAREN HONDA,1:15.554,1:15.352,,15,6,2016,Monte-Carlo
14,19,Felipe Massa,WILLIAMS MERCEDES,1:15.710,1:15.385,,19,6,2016,Monte-Carlo
15,8,Romain Grosjean,HAAS FERRARI,1:15.465,1:15.571,,22,6,2016,Monte-Carlo
16,20,Kevin Magnussen,RENAULT,1:16.253,1:16.058,,22,6,2016,Monte-Carlo
17,9,Marcus Ericsson,SAUBER FERRARI,1:16.299,,,12,6,2016,Monte-Carlo
18,30,Jolyon Palmer,RENAULT,1:16.586,,,12,6,2016,Monte-Carlo
19,88,Rio Haryanto,MRT MERCEDES,1:17.295,,,12,6,2016,Monte-Carlo
20,94,Pascal Wehrlein,MRT MERCEDES,1:17.452,,,12,6,2016,Monte-Carlo
21,33,Max Verstappen,RED BULL RACING TAG HEUER,1:22.467,,,3,6,2016,Monte-Carlo
22,12,Felipe Nasr,SAUBER FERRARI,DNF,,,1,6,2016,Monte-Carlo
1,44,Lewis Hamilton,MERCEDES,1:14.121,1:13.076,1:12.812,21,7,2016,Circuit Gilles Villeneuve
2,6,Nico Rosberg,MERCEDES,1:13.714,1:13.094,1:12.874,19,7,2016,Circuit Gilles Villeneuve
3,5,Sebastian Vettel,FERRARI,1:13.925,1:13.857,1:12.990,24,7,2016,Circuit Gilles Villeneuve
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:14.030,1:13.540,1:13.166,20,7,2016,Circuit Gilles Villeneuve
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:14.601,1:13.793,1:13.414,24,7,2016,Circuit Gilles Villeneuve
6,7,Kimi Räikkönen,FERRARI,1:14.477,1:13.849,1:13.579,23,7,2016,Circuit Gilles Villeneuve
7,77,Valtteri Bottas,WILLIAMS MERCEDES,1:14.389,1:13.791,1:13.670,20,7,2016,Circuit Gilles Villeneuve
8,19,Felipe Massa,WILLIAMS MERCEDES,1:14.815,1:13.864,1:13.769,21,7,2016,Circuit Gilles Villeneuve
9,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:14.663,1:14.166,1:13.952,23,7,2016,Circuit Gilles Villeneuve
10,14,Fernando Alonso,MCLAREN HONDA,1:15.026,1:14.260,1:14.338,24,7,2016,Circuit Gilles Villeneuve
11,11,Sergio Perez,FORCE INDIA MERCEDES,1:14.814,1:14.317,,18,7,2016,Circuit Gilles Villeneuve
12,22,Jenson Button,MCLAREN HONDA,1:14.755,1:14.437,,16,7,2016,Circuit Gilles Villeneuve
13,26,Daniil Kvyat,TORO ROSSO FERRARI,1:14.829,1:14.457,,16,7,2016,Circuit Gilles Villeneuve
14,21,Esteban Gutierrez,HAAS FERRARI,1:15.148,1:14.571,,25,7,2016,Circuit Gilles Villeneuve
15,8,Romain Grosjean,HAAS FERRARI,1:15.444,1:14.803,,24,7,2016,Circuit Gilles Villeneuve
16,55,Carlos Sainz,TORO ROSSO FERRARI,1:14.714,1:21.956,,11,7,2016,Circuit Gilles Villeneuve
17,30,Jolyon Palmer,RENAULT,1:15.459,,,11,7,2016,Circuit Gilles Villeneuve
18,94,Pascal Wehrlein,MRT MERCEDES,1:15.599,,,9,7,2016,Circuit Gilles Villeneuve
19,9,Marcus Ericsson,SAUBER FERRARI,1:15.635,,,11,7,2016,Circuit Gilles Villeneuve
20,12,Felipe Nasr,SAUBER FERRARI,1:16.663,,,9,7,2016,Circuit Gilles Villeneuve
21,88,Rio Haryanto,MRT MERCEDES,1:17.052,,,9,7,2016,Circuit Gilles Villeneuve
22,20,Kevin Magnussen,RENAULT,DNF,,,0,7,2016,Circuit Gilles Villeneuve
1,6,Nico Rosberg,MERCEDES,1:43.685,1:42.520,1:42.758,16,8,2016,Baku City Circuit
2,11,Sergio Perez,FORCE INDIA MERCEDES,1:44.462,1:43.939,1:43.515,20,8,2016,Baku City Circuit
3,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:44.570,1:44.141,1:43.966,20,8,2016,Baku City Circuit
4,5,Sebastian Vettel,FERRARI,1:45.062,1:44.461,1:43.966,19,8,2016,Baku City Circuit
5,7,Kimi Räikkönen,FERRARI,1:44.936,1:44.533,1:44.269,19,8,2016,Baku City Circuit
6,19,Felipe Massa,WILLIAMS MERCEDES,1:45.494,1:44.696,1:44.483,15,8,2016,Baku City Circuit
7,26,Daniil Kvyat,TORO ROSSO FERRARI,1:44.694,1:44.687,1:44.717,25,8,2016,Baku City Circuit
8,77,Valtteri Bottas,WILLIAMS MERCEDES,1:44.706,1:44.477,1:45.246,18,8,2016,Baku City Circuit
9,33,Max Verstappen,RED BULL RACING TAG HEUER,1:44.939,1:44.387,1:45.570,20,8,2016,Baku City Circuit
10,44,Lewis Hamilton,MERCEDES,1:44.259,1:43.526,2:01.954,17,8,2016,Baku City Circuit
11,8,Romain Grosjean,HAAS FERRARI,1:45.507,1:44.755,,15,8,2016,Baku City Circuit
12,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:44.860,1:44.824,,14,8,2016,Baku City Circuit
13,55,Carlos Sainz,TORO ROSSO FERRARI,1:44.827,1:45.000,,17,8,2016,Baku City Circuit
14,14,Fernando Alonso,MCLAREN HONDA,1:45.525,1:45.270,,15,8,2016,Baku City Circuit
15,21,Esteban Gutierrez,HAAS FERRARI,1:45.300,1:45.349,,16,8,2016,Baku City Circuit
16,12,Felipe Nasr,SAUBER FERRARI,1:45.549,1:46.048,,13,8,2016,Baku City Circuit
17,88,Rio Haryanto,MRT MERCEDES,1:45.665,,,8,8,2016,Baku City Circuit
18,94,Pascal Wehrlein,MRT MERCEDES,1:45.750,,,9,8,2016,Baku City Circuit
19,22,Jenson Button,MCLAREN HONDA,1:45.804,,,7,8,2016,Baku City Circuit
20,9,Marcus Ericsson,SAUBER FERRARI,1:46.231,,,10,8,2016,Baku City Circuit
21,20,Kevin Magnussen,RENAULT,1:46.348,,,9,8,2016,Baku City Circuit
22,30,Jolyon Palmer,RENAULT,1:46.394,,,9,8,2016,Baku City Circuit
1,44,Lewis Hamilton,MERCEDES,1:06.947,1:06.228,1:07.922,21,9,2016,Red Bull Ring
2,6,Nico Rosberg,MERCEDES,1:06.516,1:06.403,1:08.465,20,9,2016,Red Bull Ring
3,27,Nico Hulkenberg,FORCE INDIA MERCEDES,1:07.385,1:07.257,1:09.285,25,9,2016,Red Bull Ring
4,5,Sebastian Vettel,FERRARI,1:06.761,1:06.602,1:09.781,18,9,2016,Red Bull Ring
5,22,Jenson Button,MCLAREN HONDA,1:07.653,1:07.572,1:09.900,22,9,2016,Red Bull Ring
6,7,Kimi Räikkönen,FERRARI,1:07.240,1:06.940,1:09.901,21,9,2016,Red Bull Ring
7,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:07.500,1:06.840,1:09.980,20,9,2016,Red Bull Ring
8,77,Valtteri Bottas,WILLIAMS MERCEDES,1:07.148,1:06.911,1:10.440,18,9,2016,Red Bull Ring
9,33,Max Verstappen,RED BULL RACING TAG HEUER,1:07.131,1:06.866,1:11.153,17,9,2016,Red Bull Ring
10,19,Felipe Massa,WILLIAMS MERCEDES,1:07.419,1:07.145,1:11.977,21,9,2016,Red Bull Ring
11,21,Esteban Gutierrez,HAAS FERRARI,1:07.660,1:07.578,,18,9,2016,Red Bull Ring
12,94,Pascal Wehrlein,MRT MERCEDES,1:07.565,1:07.700,,17,9,2016,Red Bull Ring
13,8,Romain Grosjean,HAAS FERRARI,1:07.662,1:07.850,,19,9,2016,Red Bull Ring
14,14,Fernando Alonso,MCLAREN HONDA,1:07.671,1:08.154,,12,9,2016,Red Bull Ring
15,55,Carlos Sainz,TORO ROSSO FERRARI,1:07.618,,,10,9,2016,Red Bull Ring
16,11,Sergio Perez,FORCE INDIA MERCEDES,1:07.657,,,5,9,2016,Red Bull Ring
17,20,Kevin Magnussen,RENAULT,1:07.941,,,10,9,2016,Red Bull Ring
18,30,Jolyon Palmer,RENAULT,1:07.965,,,9,9,2016,Red Bull Ring
19,88,Rio Haryanto,MRT MERCEDES,1:08.026,,,11,9,2016,Red Bull Ring
20,26,Daniil Kvyat,TORO ROSSO FERRARI,1:08.409,,,8,9,2016,Red Bull Ring
21,9,Marcus Ericsson,SAUBER FERRARI,1:08.418,,,12,9,2016,Red Bull Ring
22,12,Felipe Nasr,SAUBER FERRARI,1:08.446,,,13,9,2016,Red Bull Ring
1,44,Lewis Hamilton,MERCEDES,1:30.739,1:29.243,1:29.287,14,10,2016,Silverstone
2,6,Nico Rosberg,MERCEDES,1:30.724,1:29.970,1:29.606,14,10,2016,Silverstone
3,33,Max Verstappen,RED BULL RACING TAG HEUER,1:31.305,1:30.697,1:30.313,12,10,2016,Silverstone
4,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:31.684,1:31.319,1:30.618,12,10,2016,Silverstone
5,7,Kimi Räikkönen,FERRARI,1:31.326,1:31.385,1:30.881,15,10,2016,Silverstone
6,5,Sebastian Vettel,FERRARI,1:31.606,1:30.711,1:31.490,17,10,2016,Silverstone
7,77,Valtteri Bottas,WILLIAMS MERCEDES,1:31.913,1:31.478,1:31.557,12,10,2016,Silverstone
