POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
7,19,Felipe Massa,WILLIAMS MERCEDES,1:13.435,1:13.012,1:12.858,27,7,2017,Circuit Gilles Villeneuve
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:13.470,1:13.262,1:13.018,22,7,2017,Circuit Gilles Villeneuve
9,31,Esteban Ocon,FORCE INDIA MERCEDES,1:13.520,1:13.320,1:13.135,22,7,2017,Circuit Gilles Villeneuve
10,27,Nico Hulkenberg,RENAULT,1:13.804,1:13.406,1:13.271,24,7,2017,Circuit Gilles Villeneuve
11,26,Daniil Kvyat,TORO ROSSO,1:13.802,1:13.690,,18,7,2017,Circuit Gilles Villeneuve
12,14,Fernando Alonso,MCLAREN HONDA,1:13.669,1:13.693,,18,7,2017,Circuit Gilles Villeneuve
13,55,Carlos Sainz,TORO ROSSO,1:14.051,1:13.756,,19,7,2017,Circuit Gilles Villeneuve
14,8,Romain Grosjean,HAAS FERRARI,1:13.780,1:13.839,,21,7,2017,Circuit Gilles Villeneuve
15,30,Jolyon Palmer,RENAULT,1:13.990,1:14.293,,20,7,2017,Circuit Gilles Villeneuve
16,2,Stoffel Vandoorne,MCLAREN HONDA,1:14.182,,,11,7,2017,Circuit Gilles Villeneuve
17,18,Lance Stroll,WILLIAMS MERCEDES,1:14.209,,,14,7,2017,Circuit Gilles Villeneuve
18,20,Kevin Magnussen,HAAS FERRARI,1:14.318,,,11,7,2017,Circuit Gilles Villeneuve
19,9,Marcus Ericsson,SAUBER FERRARI,1:14.495,,,11,7,2017,Circuit Gilles Villeneuve
20,94,Pascal Wehrlein,SAUBER FERRARI,1:14.810,,,10,7,2017,Circuit Gilles Villeneuve
1,44,Lewis Hamilton,MERCEDES,1:41.983,1:41.275,1:40.593,20,8,2017,Baku City Circuit
2,77,Valtteri Bottas,MERCEDES,1:43.026,1:41.502,1:41.027,23,8,2017,Baku City Circuit
3,7,Kimi Räikkönen,FERRARI,1:42.678,1:42.090,1:41.693,23,8,2017,Baku City Circuit
4,5,Sebastian Vettel,FERRARI,1:42.952,1:41.911,1:41.841,23,8,2017,Baku City Circuit
